date,precipitation_mm,makkink_mm,P_minus_ET_mm
2020-01-01,0.0,0.09248181915071765,-0.09248181915071765
2020-01-02,0.0,0.08294586068650961,-0.08294586068650961
2020-01-03,7.1,0.10678655899239262,6.993213441007607
2020-01-04,0.4,0.13394590931402095,0.26605409068597907
2020-01-05,0.6,0.1129422849156918,0.4870577150843082
2020-01-06,0.8999999999999999,0.21042102092246834,0.6895789790775315
2020-01-07,0.0,0.42574286059149813,-0.42574286059149813
2020-01-08,0.3,0.2834537931600962,0.016546206839903765
2020-01-09,3.7,0.10567430459274761,3.5943256954072527
2020-01-10,0.5,0.2934437334066121,0.20655626659338788
2020-01-11,0.0,0.3048666729674944,-0.3048666729674944
2020-01-12,2.6,0.14773100746734447,2.4522689925326557
2020-01-13,0.0,0.39588511765172996,-0.39588511765172996
2020-01-14,9.1,0.32246592743912056,8.77753407256088
2020-01-15,3.2,0.09915304003367519,3.100846959966325
2020-01-16,0.0,0.6215745131341205,-0.6215745131341205
2020-01-17,1.3,0.17151086910955732,1.1284891308904428
2020-01-18,1.1,0.38775168176157215,0.7122483182384279
2020-01-19,0.30000000000000004,0.5559442285793147,-0.25594422857931465
2020-01-20,0.0,0.3224492005028419,-0.3224492005028419
2020-01-21,0.0,0.2489773437069994,-0.2489773437069994
2020-01-22,0.1,0.1654766949081093,-0.06547669490810928
2020-01-23,0.0,0.2930754318730682,-0.2930754318730682
2020-01-24,0.0,0.16247815181997677,-0.16247815181997677
2020-01-25,0.0,0.11486985884654943,-0.11486985884654943
2020-01-26,0.2,0.42381212811971575,-0.22381212811971574
2020-01-27,10.9,0.3343506033329121,10.565649396667089
2020-01-28,9.9,0.28549462798797315,9.614505372012028
2020-01-29,1.4,0.37541782795746187,1.024582172042538
2020-01-30,0.5,0.46821837716475917,0.03178162283524083
2020-01-31,1.1,0.30993420779850156,0.7900657922014985
2020-02-01,4.5,0.564715407371251,3.935284592628749
2020-02-02,5.6000000000000005,0.16850091266967104,5.431499087330329
2020-02-03,0.7,0.6045517084322904,0.09544829156770951
2020-02-04,8.9,0.3280493860026305,8.57195061399737
2020-02-05,0.0,0.7111485531428046,-0.7111485531428046
2020-02-06,0.0,0.5209030542929544,-0.5209030542929544
2020-02-07,0.0,0.9239150671017087,-0.9239150671017087
2020-02-08,0.7000000000000001,0.32746645578438605,0.372533544215614
2020-02-09,9.2,0.16490031744089,9.035099682559109
2020-02-10,6.1,0.6434284601390138,5.4565715398609855
2020-02-11,0.4,0.41741459410404363,-0.017414594104043613
2020-02-12,0.0,0.6170204819736251,-0.6170204819736251
2020-02-13,7.5,0.3258597991651719,7.174140200834828
2020-02-14,0.1,0.6774132139381744,-0.5774132139381745
2020-02-15,0.2,0.5021844539844613,-0.3021844539844613
2020-02-16,37.4,0.14450110703476418,37.255498892965235
2020-02-17,1.0,0.806100540768288,0.19389945923171203
2020-02-18,4.7,0.7958378007478268,3.9041621992521733
2020-02-19,1.0,0.6564577445170612,0.3435422554829388
2020-02-20,8.9,0.3834006133689286,8.516599386631071
2020-02-21,0.0,0.6920530918293972,-0.6920530918293972
2020-02-22,4.8,0.48693891508129916,4.313061084918701
2020-02-23,20.8,0.4135010773004564,20.386498922699545
2020-02-24,13.3,0.1489923149997141,13.151007685000287
2020-02-25,0.5,0.8625726698815104,-0.3625726698815104
2020-02-26,8.0,0.7326435538396601,7.26735644616034
2020-02-27,4.2,0.29873934252250905,3.9012606574774913
2020-02-28,11.3,0.6175882360581526,10.682411763941849
2020-02-29,4.2,0.8257024246063959,3.374297575393604
2020-03-01,1.2,1.176743146348258,0.023256853651741904
2020-03-02,4.1,0.3351900756122827,3.764809924387717
2020-03-03,0.1,1.4096807667418847,-1.3096807667418846
2020-03-04,1.2,1.4817534088814308,-0.28175340888143086
2020-03-05,1.1,0.6241095305738595,0.47589046942614055
2020-03-06,0.39999999999999997,0.8098233063859624,-0.4098233063859625
2020-03-07,0.0,1.3199936614386196,-1.3199936614386196
2020-03-08,7.300000000000001,0.554865819558744,6.745134180441257
2020-03-09,0.7,1.3447760495497842,-0.6447760495497843
2020-03-10,12.9,0.45841720533959385,12.441582794660407
2020-03-11,1.5,1.9871760989701228,-0.4871760989701228
2020-03-12,1.9,1.6352235283658678,0.2647764716341321
2020-03-13,2.4,1.2058436486461417,1.1941563513538582
2020-03-14,0.0,1.4801925480216092,-1.4801925480216092
2020-03-15,0.0,0.5412856108704904,-0.5412856108704904
2020-03-16,0.0,1.643173363991634,-1.643173363991634
2020-03-17,0.0,1.4907046400732438,-1.4907046400732438
2020-03-18,0.0,0.9162730560132928,-0.9162730560132928
2020-03-19,0.1,0.8629898466596438,-0.7629898466596439
2020-03-20,0.0,0.8055455380682461,-0.8055455380682461
2020-03-21,0.0,2.213284448793581,-2.213284448793581
2020-03-22,0.0,2.3371062249911176,-2.3371062249911176
2020-03-23,0.0,2.361096855560885,-2.361096855560885
2020-03-24,0.0,2.4618695686881287,-2.4618695686881287
2020-03-25,0.0,2.5293529398939003,-2.5293529398939003
2020-03-26,0.0,2.5201289508470723,-2.5201289508470723
2020-03-27,0.0,2.4922230485510926,-2.4922230485510926
2020-03-28,0.1,2.305528143955376,-2.2055281439553758
2020-03-29,0.2,2.4329401715716465,-2.2329401715716464
2020-03-30,1.1,1.5181073012546897,-0.41810730125468965
2020-03-31,0.0,2.552005171697295,-2.552005171697295
2020-04-01,1.3,1.6192426884389943,-0.3192426884389943
2020-04-02,0.1,1.9667787880699488,-1.8667787880699487
2020-04-03,0.0,1.3060965018091073,-1.3060965018091073
2020-04-04,0.0,3.067528878240084,-3.067528878240084
2020-04-05,0.0,3.3994355982165385,-3.3994355982165385
2020-04-06,0.1,2.8384183897183775,-2.7384183897183774
2020-04-07,0.0,3.261077662955521,-3.261077662955521
2020-04-08,0.0,3.323503804158863,-3.323503804158863
2020-04-09,0.0,3.3782924944042927,-3.3782924944042927
2020-04-10,0.0,3.1127793340711056,-3.1127793340711056
2020-04-11,0.0,3.5224092560208,-3.5224092560208
2020-04-12,0.0,2.8823976570576217,-2.8823976570576217
2020-04-13,0.0,1.8393009319599418,-1.8393009319599418
2020-04-14,0.0,1.642887681198756,-1.642887681198756
2020-04-15,0.0,3.3063677633007034,-3.3063677633007034
2020-04-16,0.0,3.556063618543794,-3.556063618543794
2020-04-17,0.0,3.433022969900733,-3.433022969900733
2020-04-18,0.0,2.574793798464788,-2.574793798464788
2020-04-19,0.0,3.858790303984538,-3.858790303984538
2020-04-20,0.0,3.909240230618738,-3.909240230618738
2020-04-21,0.0,3.9676411918222527,-3.9676411918222527
2020-04-22,0.0,4.219123362825617,-4.219123362825617
2020-04-23,0.0,4.2329937723273945,-4.2329937723273945
2020-04-24,0.0,3.9287153562791333,-3.9287153562791333
2020-04-25,0.0,2.004326068942476,-2.004326068942476
2020-04-26,0.0,3.634920602290861,-3.634920602290861
2020-04-27,0.0,3.88937048961084,-3.88937048961084
2020-04-28,5.2,0.5331145033318367,4.666885496668163
2020-04-29,4.7,1.4668048482130587,3.2331951517869415
2020-04-30,1.5,3.054862179004718,-1.5548621790047181
2020-05-01,7.1000000000000005,1.922110061309522,5.177889938690479
2020-05-02,5.1,2.3363883945109403,2.7636116054890594
2020-05-03,0.0,2.3643984508921037,-2.3643984508921037
2020-05-04,0.0,3.859622367152665,-3.859622367152665
2020-05-05,0.0,4.155628296102072,-4.155628296102072
2020-05-06,0.0,4.211772223476612,-4.211772223476612
2020-05-07,0.0,4.199930048031775,-4.199930048031775
2020-05-08,0.0,4.136317617990929,-4.136317617990929
2020-05-09,0.0,4.779619655164853,-4.779619655164853
2020-05-10,0.0,2.5000639920938252,-2.5000639920938252
2020-05-11,0.6,3.6339810704521924,-3.0339810704521923
2020-05-12,0.4,2.7533822378126933,-2.3533822378126934
2020-05-13,1.5,2.597200141058253,-1.097200141058253
2020-05-14,0.6,2.7686357820347056,-2.1686357820347055
2020-05-15,0.0,3.4305200534755182,-3.4305200534755182
2020-05-16,0.0,3.1128661562852153,-3.1128661562852153
2020-05-17,0.0,4.645147977206537,-4.645147977206537
2020-05-18,0.0,4.1785548828848595,-4.1785548828848595
2020-05-19,0.0,4.230402466734162,-4.230402466734162
2020-05-20,0.0,3.7828688398271373,-3.7828688398271373
2020-05-21,0.0,5.10584106198838,-5.10584106198838
2020-05-22,0.0,2.7755479110441663,-2.7755479110441663
2020-05-23,0.0,4.328519644800105,-4.328519644800105
2020-05-24,4.1,1.4182576013236412,2.6817423986763584
2020-05-25,0.0,4.341272983521419,-4.341272983521419
2020-05-26,0.0,4.895436918266853,-4.895436918266853
2020-05-27,0.0,4.786952430168859,-4.786952430168859
2020-05-28,0.0,5.056728705320147,-5.056728705320147
2020-05-29,0.0,5.058081702577182,-5.058081702577182
2020-05-30,0.0,5.335168018369683,-5.335168018369683
2020-05-31,0.0,5.096147691018268,-5.096147691018268
2020-06-01,0.0,4.195787112191114,-4.195787112191114
2020-06-02,0.0,5.170629196540224,-5.170629196540224
2020-06-03,0.0,3.944509220368305,-3.944509220368305
2020-06-04,6.5,1.6042127642678312,4.895787235732168
2020-06-05,4.3,1.854486092729169,2.445513907270831
2020-06-06,12.1,2.676013028116679,9.42398697188332
2020-06-07,6.7,2.4220896731714543,4.277910326828546
2020-06-08,1.8,3.4974752482945504,-1.6974752482945503
2020-06-09,0.0,2.391404744516378,-2.391404744516378
2020-06-10,0.0,3.4347270202226206,-3.4347270202226206
2020-06-11,4.5,1.8628568172048403,2.6371431827951595
2020-06-12,1.0,4.602912112667991,-3.6029121126679913
2020-06-13,6.2,5.0340707668998865,1.1659292331001136
2020-06-14,0.0,3.512271534237237,-3.512271534237237
2020-06-15,0.0,4.448527705664696,-4.448527705664696
2020-06-16,0.0,2.362809598417747,-2.362809598417747
2020-06-17,2.3,4.852975557658239,-2.5529755576582396
2020-06-18,0.8,3.275029873792107,-2.4750298737921073
2020-06-19,9.4,4.171693165611946,5.2283068343880545
2020-06-20,0.0,5.32606584581727,-5.32606584581727
2020-06-21,0.0,3.547251603749967,-3.547251603749967
2020-06-22,0.0,5.450948519189013,-5.450948519189013
2020-06-23,0.0,5.551501774301296,-5.551501774301296
2020-06-24,0.0,5.8186160287229685,-5.8186160287229685
2020-06-25,0.0,5.887999948060323,-5.887999948060323
2020-06-26,1.0,5.615528788855717,-4.615528788855717
2020-06-27,8.1,2.815260317896803,5.284739682103197
2020-06-28,0.0,4.887339776702114,-4.887339776702114
