date,makkink_mm
2020-01-01,0.09248181915071765
2020-01-02,0.08294586068650961
2020-01-03,0.10678655899239262
2020-01-04,0.13394590931402095
2020-01-05,0.1129422849156918
2020-01-06,0.21042102092246834
2020-01-07,0.42574286059149813
2020-01-08,0.2834537931600962
2020-01-09,0.10567430459274761
2020-01-10,0.2934437334066121
2020-01-11,0.3048666729674944
2020-01-12,0.14773100746734447
2020-01-13,0.39588511765172996
2020-01-14,0.32246592743912056
2020-01-15,0.09915304003367519
2020-01-16,0.6215745131341205
2020-01-17,0.17151086910955732
2020-01-18,0.38775168176157215
2020-01-19,0.5559442285793147
2020-01-20,0.3224492005028419
2020-01-21,0.2489773437069994
2020-01-22,0.1654766949081093
2020-01-23,0.2930754318730682
2020-01-24,0.16247815181997677
2020-01-25,0.11486985884654943
2020-01-26,0.42381212811971575
2020-01-27,0.3343506033329121
2020-01-28,0.28549462798797315
2020-01-29,0.37541782795746187
2020-01-30,0.46821837716475917
2020-01-31,0.30993420779850156
2020-02-01,0.564715407371251
2020-02-02,0.16850091266967104
2020-02-03,0.6045517084322904
2020-02-04,0.3280493860026305
2020-02-05,0.7111485531428046
2020-02-06,0.5209030542929544
2020-02-07,0.9239150671017087
2020-02-08,0.32746645578438605
2020-02-09,0.16490031744089
2020-02-10,0.6434284601390138
2020-02-11,0.41741459410404363
2020-02-12,0.6170204819736251
2020-02-13,0.3258597991651719
2020-02-14,0.6774132139381744
2020-02-15,0.5021844539844613
2020-02-16,0.14450110703476418
2020-02-17,0.806100540768288
2020-02-18,0.7958378007478268
2020-02-19,0.6564577445170612
2020-02-20,0.3834006133689286
2020-02-21,0.6920530918293972
2020-02-22,0.48693891508129916
2020-02-23,0.4135010773004564
2020-02-24,0.1489923149997141
2020-02-25,0.8625726698815104
2020-02-26,0.7326435538396601
2020-02-27,0.29873934252250905
2020-02-28,0.6175882360581526
2020-02-29,0.8257024246063959
2020-03-01,1.176743146348258
2020-03-02,0.3351900756122827
2020-03-03,1.4096807667418847
2020-03-04,1.4817534088814308
2020-03-05,0.6241095305738595
2020-03-06,0.8098233063859624
2020-03-07,1.3199936614386196
2020-03-08,0.554865819558744
2020-03-09,1.3447760495497842
2020-03-10,0.45841720533959385
2020-03-11,1.9871760989701228
2020-03-12,1.6352235283658678
2020-03-13,1.2058436486461417
2020-03-14,1.4801925480216092
2020-03-15,0.5412856108704904
2020-03-16,1.643173363991634
2020-03-17,1.4907046400732438
2020-03-18,0.9162730560132928
2020-03-19,0.8629898466596438
2020-03-20,0.8055455380682461
2020-03-21,2.213284448793581
2020-03-22,2.3371062249911176
2020-03-23,2.361096855560885
2020-03-24,2.4618695686881287
2020-03-25,2.5293529398939003
2020-03-26,2.5201289508470723
2020-03-27,2.4922230485510926
2020-03-28,2.305528143955376
2020-03-29,2.4329401715716465
2020-03-30,1.5181073012546897
2020-03-31,2.552005171697295
2020-04-01,1.6192426884389943
2020-04-02,1.9667787880699488
2020-04-03,1.3060965018091073
2020-04-04,3.067528878240084
2020-04-05,3.3994355982165385
2020-04-06,2.8384183897183775
2020-04-07,3.261077662955521
2020-04-08,3.323503804158863
